#TFM v1.0.8 by tritical
field = bottom
crc32 = fd63f8e1
1434 c - [24]
1435 c - [18]
1436 c - [19]
1437 c - [18]
1438 c - [16]
1439 c - [40]
1440 c - [21]
1441 c - [41]
1442 c - [26]
1443 c - [19]
1444 c - [39]
1445 c - [29]
1446 c - [38]
1447 p - [35]
1448 c - [26]
1449 c - [16]
1450 c - [16]
1451 p - [16]
1452 c - [16]
1453 c - [26]
1454 c - [16]
1455 c - [20]
1456 c - [18]
1457 c - [38]
1458 c - [19]
1459 c - [16]
1460 c - [21]
1461 c - [14]
1462 p - [17]
1463 c - [35]
1464 c - [38]
1465 c - [18]
1466 p - [19]
1467 c - [16]
1468 c - [28]
1469 c - [33]
1470 c - [16]
1471 c - [20]
1472 c - [18]
1473 c - [15]
1474 c - [33]
1475 c - [13]
1476 c - [18]
1477 p - [24]
1478 c - [20]
1479 c - [22]
1480 c - [34]
1481 p - [17]
1482 c - [21]
1483 c - [22]
1484 c - [23]
1485 c - [22]
1486 c - [13]
1487 c - [18]
1488 c - [20]
1489 c - [19]
1490 c - [16]
1491 p - [19]
1492 p - [22]
1493 c - [16]
1494 c - [18]
1495 c - [15]
1496 p - [30]
1497 c - [16]
1498 c - [17]
1499 c - [25]
1500 c - [47]
1501 c - [15]
1502 p - [16]
1503 c - [20]
1504 c - [22]
1505 c - [16]
1506 p - [12]
1507 c - [17]
1508 c - [15]
1509 c - [16]
1510 c - [39]
1511 c - [39]
1512 c - [18]
1513 c - [13]
1514 c - [12]
1515 c - [20]
1516 p - [15]
1517 p - [22]
1518 c - [43]
1519 c - [22]
1520 c - [18]
1521 p - [18]
1522 c - [22]
1523 c - [16]
1524 c - [21]
1525 c - [19]
1526 c - [12]
1527 c - [18]
1528 c - [47]
1529 c - [44]
1530 c - [14]
1531 c - [33]
1532 c - [14]
1533 c - [37]
1534 c - [25]
1535 c - [16]
1536 c - [21]
1537 p - [21]
1538 c - [17]
1539 c - [19]
1540 c - [16]
1541 p - [15]
1542 c - [35]
1543 c - [18]
1544 c - [33]
1545 c - [48]
1546 c - [17]
1547 p - [15]
1548 p - [16]
1549 c - [73]
1550 p - [58]
1551 p - [18]
1552 c - [20]
1553 c - [19]
1554 c - [16]
1555 c - [20]
1556 c - [17]
1557 c - [18]
1558 c - [16]
1559 c - [15]
1560 c - [17]
1561 c - [19]
1562 c - [23]
1563 c - [15]
1564 c - [21]
1565 c - [14]
1566 c - [18]
1567 c - [18]
1568 c - [16]
1569 c - [18]
1570 c - [16]
1571 c - [17]
1572 c - [21]
1573 c - [15]
1574 c - [20]
1575 c - [20]
1576 c - [17]
1577 c - [18]
1578 c - [23]
1579 c - [14]
1580 p - [13]
1581 c - [15]
1582 c - [44]
1583 c - [22]
1584 c - [36]
1585 c - [26]
1586 c - [16]
1587 c - [23]
1588 c - [20]
1589 c - [20]
1590 c - [22]
1591 c - [17]
1592 c - [36]
1593 c - [28]
1594 c - [20]
1595 c - [14]
1596 c - [19]
1597 c - [22]
1598 c - [22]
1599 c - [23]
1600 c - [16]
1601 c - [20]
1602 c - [19]
1603 c - [22]
1604 p - [19]
1605 c - [27]
1606 c - [24]
1607 c - [14]
1608 c - [16]
1609 c - [36]
1610 c - [20]
1611 c - [27]
1612 c - [17]
1613 c - [21]
1614 c - [16]
1615 c - [14]
1616 c - [19]
1617 c - [15]
1618 c - [17]
1619 c - [17]
1620 c - [14]
1621 c - [14]
1622 c - [10]
1623 c - [31]
1624 c - [9]
1625 c - [23]
1626 c - [19]
1627 c - [40]
1628 c - [17]
1629 c - [32]
1630 c - [29]
1631 p - [22]
1632 p - [23]
1633 c - [18]
1634 c - [12]
1635 c - [16]
1636 p - [18]
1637 p - [20]
1638 c - [42]
1639 c - [20]
1640 c - [19]
1641 p - [18]
1642 p - [16]
1643 c - [15]
1644 c - [11]
1645 c - [27]
1646 p - [34]
1647 p - [20]
1648 c - [15]
1649 c - [21]
1650 c - [31]
