#TFM v1.0.8 by tritical
field = bottom
crc32 = b3979677
860 c - [14]
861 c - [23]
862 l + [96]
863 c - [17]
864 c - [21]
865 c - [38]
866 c - [13]
867 c - [20]
868 c - [43]
869 c - [20]
870 c - [31]
871 c - [20]
872 p - [22]
873 c - [24]
874 c - [23]
875 c - [32]
876 c - [21]
877 c - [14]
878 c - [15]
879 c - [13]
880 c - [20]
881 c - [18]
882 c - [26]
883 c - [16]
884 c - [5]
885 c - [42]
886 c - [9]
887 c - [54]
888 c - [32]
889 c - [10]
890 c - [80]
891 c - [40]
892 c - [13]
893 p - [13]
894 c - [36]
895 l + [83]
896 c - [25]
897 c - [24]
898 p - [25]
899 c - [13]
900 c - [16]
901 c - [40]
902 c - [20]
903 c - [18]
904 c - [13]
905 c - [13]
906 c - [28]
907 c - [23]
908 c - [15]
909 c - [25]
910 c - [59]
911 c - [20]
912 p - [31]
913 c - [8]
914 c - [27]
915 c - [17]
916 c - [8]
917 p - [17]
918 c - [41]
919 c - [68]
920 c - [35]
921 c - [12]
922 c - [15]
923 c - [25]
924 c - [16]
925 c - [20]
926 c - [32]
927 c - [16]
928 c - [14]
929 c - [14]
930 c - [37]
931 c - [13]
932 c - [10]
933 c - [30]
934 c - [27]
935 c - [17]
936 c - [17]
937 l + [82]
938 l + [90]
939 c - [22]
940 c - [26]
941 c - [32]
942 c - [18]
943 c - [33]
944 l + [83]
945 c - [10]
946 c - [41]
947 c - [21]
948 c - [11]
949 c - [33]
950 c - [11]
951 c - [15]
952 c - [14]
953 c - [27]
954 c - [11]
955 c - [22]
956 c - [34]
957 c - [25]
958 c - [20]
959 c - [15]
960 c - [20]
961 c - [21]
962 c - [23]
963 c - [36]
964 p - [7]
965 c - [11]
966 p - [15]
967 c - [18]
968 c - [13]
969 c - [30]
970 c - [9]
971 c - [14]
972 c - [24]
973 c - [22]
974 c - [12]
975 c - [16]
976 c - [18]
977 c - [22]
978 c - [22]
979 c - [19]
980 c - [16]
981 c - [10]
982 c - [25]
983 c - [12]
984 c - [4]
985 c - [16]
986 c - [9]
987 c - [15]
988 c - [14]
989 c - [17]
990 c - [23]
991 p - [13]
992 c - [10]
993 c - [16]
994 c - [15]
995 c - [10]
996 c - [14]
997 c - [10]
998 c - [9]
999 c - [20]
1000 c - [12]
1001 c - [11]
1002 c - [16]
1003 c - [4]
1004 c - [23]
1005 c - [12]
1006 p - [20]
1007 p - [18]
1008 c - [28]
1009 c - [14]
1010 c - [7]
1011 p - [20]
1012 p - [35]
1013 c - [17]
1014 c - [13]
1015 c - [18]
1016 p - [20]
1017 p - [8]
1018 c - [13]
1019 c - [11]
1020 c - [16]
1021 p - [26]
1022 p - [24]
1023 c - [12]
1024 c - [38]
1025 c - [20]
1026 p - [34]
1027 p - [18]
1028 c - [40]
1029 c - [17]
1030 c - [14]
1031 p - [22]
1032 p - [27]
1033 c - [46]
1034 c - [14]
1035 c - [12]
1036 p - [27]
1037 p - [16]
1038 c - [31]
1039 c - [14]
1040 c - [44]
1041 p - [25]
1042 p - [32]
1043 c - [30]
1044 c - [14]
1045 c - [9]
1046 p - [25]
1047 p - [19]
1048 c - [21]
1049 c - [19]
1050 c - [50]
1051 p - [31]
1052 p - [33]
1053 c - [49]
1054 c - [19]
1055 c - [13]
1056 p - [34]
1057 p - [28]
1058 c - [7]
1059 c - [11]
1060 c - [46]
1061 p - [36]
1062 p - [28]
1063 c - [17]
1064 c - [10]
1065 c - [25]
1066 p - [52]
1067 p - [10]
1068 c - [19]
1069 c - [26]
1070 c - [11]
1071 p - [17]
1072 p - [43]
1073 c - [10]
1074 l + [96]
1075 c - [65]
1076 p - [24]
1077 p - [39]
1078 c - [4]
1079 c - [10]
1080 c - [12]
1081 p - [32]
1082 p - [31]
1083 c - [28]
1084 c - [12]
1085 c - [8]
1086 p - [32]
1087 p - [16]
1088 c - [8]
1089 c - [14]
1090 c - [14]
1091 p + [97]
1092 p - [10]
1093 c - [17]
1094 c - [80]
1095 c - [12]
1096 p - [16]
1097 p - [7]
1098 c - [7]
1099 l + [88]
1100 c - [75]
1101 p - [11]
1102 p - [42]
1103 c - [7]
1104 c - [9]
1105 c - [5]
1106 p - [18]
1107 p - [11]
1108 c - [18]
1109 c - [18]
1110 c - [17]
1111 p - [23]
1112 p - [9]
1113 c - [14]
1114 c - [17]
1115 c - [47]
1116 p - [23]
1117 p - [24]
1118 c - [16]
1119 c - [44]
1120 c - [19]
1121 p - [18]
1122 p - [10]
1123 l + [87]
1124 c - [20]
1125 l + [84]
1126 p - [49]
1127 p - [27]
1128 c - [22]
1129 p - [11]
1130 l + [95]
1131 p - [34]
1132 p - [28]
1133 c - [34]
1134 c - [27]
1135 c - [14]
1136 p - [20]
1137 p - [21]
1138 c - [12]
1139 c - [13]
1140 c - [36]
1141 p - [24]
1142 p - [25]
1143 p - [41]
1144 c - [18]
1145 c - [29]
1146 c - [46]
1147 p - [24]
1148 c - [19]
1149 c - [21]
1150 c - [24]
1151 p - [25]
1152 p - [24]
1153 c - [25]
1154 c - [16]
1155 c - [25]
1156 p - [31]
1157 p - [34]
1158 c - [44]
1159 c - [20]
1160 c - [41]
1161 p - [26]
1162 p - [15]
1163 c - [7]
1164 c - [10]
1165 c - [18]
1166 p - [21]
1167 p - [20]
1168 c - [15]
1169 c - [25]
1170 c - [44]
1171 p - [36]
1172 p - [12]
1173 c - [26]
1174 c - [28]
1175 c - [14]
1176 p - [13]
1177 p - [18]
1178 c - [24]
1179 c - [15]
1180 c - [24]
1181 p - [17]
1182 p - [31]
1183 c - [20]
1184 c - [37]
1185 c - [6]
1186 p - [20]
1187 p - [17]
1188 c - [34]
1189 l + [95]
1190 c - [16]
1191 p - [51]
1192 p - [25]
1193 c - [13]
1194 c - [26]
1195 c - [10]
1196 p - [33]
1197 p - [14]
1198 c - [34]
1199 c - [40]
1200 c - [18]
